,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1690,Schoolhouse Fire,Y,2020-09-17T19:57:01Z,2020-09-09T15:59:31Z,CAL FIRE Siskiyou Unit,,Siskiyou,Schoolhouse Gap Rd And McAdams Creek Rd,45.0,100.0,,CAL FIRE Siskiyou Unit,-122.84057,41.68229,Wildfire,2cdf609e-de06-4e0b-a2bc-527ffde51064,https://osfm.fire.ca.gov/incidents/2020/9/9/schoolhouse-fire/,2020-09-17T19:56:00Z,2020-09-17,2020-09-09,N,True,False
1700,Copper Fire ,Y,2020-10-05T09:45:18Z,2020-09-30T13:09:00Z,CALFIRE Amador-El Dorado Unit ,,Amador,"Copper Hill Rd. off Hwy 16, east of Rancho Murieta",48.0,100.0,,"Cooperating Agencies: Amador Sheriff’s Office; CHP; Ione FD, Sutter Creek Fire Protection Dist; Amador Fire Protection Dist., Lockwood Fire Protection Dist; El Dorado Hills FD; Sac Metro Fire Dist.; Sacramento FD; Buena Vista Rancheria FD; Cameron Park FD; PG&E",-121.003602,38.49375,Wildfire,fdae8b5d-95f3-4eaa-bd71-35cd402a94f9,https://osfm.fire.ca.gov/incidents/2020/9/30/copper-fire/,2020-10-03T07:08:00Z,2020-10-03,2020-09-30,N,True,False
1701,Pony Fire,Y,2020-10-04T07:22:52Z,2020-10-03T15:38:00Z,CAL FIRE/ Amador-El Dorado Unit,,Sacramento,"Pony Brown Rd and Ione Rd, Sloughhouse",20.0,100.0,,,-121.039236,38.464074,Wildfire,745a276b-488e-40e6-b62d-065111a98139,https://osfm.fire.ca.gov/incidents/2020/10/3/pony-fire/,2020-10-04T07:22:00Z,2020-10-04,2020-10-03,N,True,False
1702,Lambert Fire,Y,2020-10-06T19:05:45Z,2020-10-04T12:46:20Z,CAL FIRE Amador El Dorado Unit ,,Amador,"Lambert Road and Carbondale Road, North of Carbondale",21.0,100.0,,,-121.006635,38.424016,Wildfire,8b25feb1-9eb7-433d-8abf-d6ab554c9fe3,https://osfm.fire.ca.gov/incidents/2020/10/4/lambert-fire/,2020-10-06T19:04:00Z,2020-10-06,2020-10-04,N,True,False
1704,Irvine Fire,Y,2020-10-12T06:12:20Z,2020-10-11T18:04:00Z,CALFIRE/ Santa Clara Unit,,Contra Costa,Irvine Drive in Moraga ,30.0,100.0,,,-122.104314,37.821737,Wildfire,65b0ce28-b5e6-4dfc-b569-96716e556c90,https://osfm.fire.ca.gov/incidents/2020/10/11/irvine-fire/,2020-10-12T00:00:00Z,2020-10-12,2020-10-11,N,True,False
1705,Diamond Fire,Y,2020-10-15T16:06:46Z,2020-10-13T14:31:29Z,CAL FIRE Tuolumne Calaveras Unit ,,Calaveras,"Highway 4 and Main Street, North of Copperopolis",21.0,100.0,,,-120.64541,37.98337,Wildfire,4a85b108-3756-4b00-9767-56591a517c8d,https://osfm.fire.ca.gov/incidents/2020/10/13/diamond-fire/,2020-10-15T09:00:00Z,2020-10-15,2020-10-13,N,True,False
1707,Cameron Fire,Y,2020-10-21T17:16:51Z,2020-10-18T20:42:24Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,North of Durock Road and South of Highway 50 between Cameron Park Drive and Ponderosa Road in El Dorado county. ,15.0,100.0,,,-120.964726,38.659387,Wildfire,cbd8fd0c-8d0f-4df3-aea3-1355a685bb96,https://osfm.fire.ca.gov/incidents/2020/10/18/cameron-fire/,2020-10-21T17:16:00Z,2020-10-21,2020-10-18,N,True,False
1708,Ferry Fire,Y,2020-10-22T17:12:47Z,2020-10-22T14:43:49Z,City of Oroville Fire Department,,Butte,"Montgomery St and Linden Ave, Oroville",6.0,100.0,,City of Oroville Fire Department,-121.54475,39.51694,Wildfire,64ea3d93-de8b-41fc-b5eb-af37e8ac1f95,https://osfm.fire.ca.gov/incidents/2020/10/22/ferry-fire/,2020-10-22T17:12:00Z,2020-10-22,2020-10-22,N,False,False
1713,Olinda Fire,Y,2020-12-08T16:17:38Z,2020-10-25T14:22:27Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"West Anderson Dr and Davidson Ln, southwest of Anderson",5.0,100.0,,,-122.342,40.41486,Wildfire,fb6cb221-c303-4573-bd63-0c8b1468d4a2,https://osfm.fire.ca.gov/incidents/2020/10/25/olinda-fire/,2020-10-25T07:07:00Z,2020-10-25,2020-10-25,N,True,False
1719,257 Fire,Y,2020-12-17T10:29:38Z,2020-11-17T12:47:00Z,CAL FIRE Lassen-Modoc Unit,,,"Highway 299 East and County Road 257, West of Alturas",49.0,100.0,,,-120.87054,41.4435,Wildfire,c5b45f76-3b72-4f3d-b651-7c7bb0f156b7,https://osfm.fire.ca.gov/incidents/2020/11/17/257-fire/,2020-11-17T19:05:14Z,2020-11-17,2020-11-17,N,True,False
